"ID","DisplayRaceID","DisplaySexID","SkinID","FaceID","HairStyleID","HairColorID","FacialHairID","NPCItemDisplay_1","NPCItemDisplay_2","NPCItemDisplay_3","NPCItemDisplay_4","NPCItemDisplay_5","NPCItemDisplay_6","NPCItemDisplay_7","NPCItemDisplay_8","NPCItemDisplay_9","NPCItemDisplay_10","NPCItemDisplay_11","Flags","BakeName"
"59","1","0","0","9","8","9","8","0","0","0","8444","5865","7587","8268","0","0","0","0","0","CreatureDisplayExtra-00059_HD.blp"
"60","1","0","2","0","1","3","6","0","0","9745","0","0","2318","4272","0","0","0","0","0","CreatureDisplayExtra-00060_HD.blp"
"61","1","0","0","9","8","7","8","0","0","10697","10708","0","8409","4921","0","0","0","0","0","CreatureDisplayExtra-00061_HD.blp"
"62","1","0","9","0","0","2","5","0","0","4299","0","0","2185","4272","0","0","0","0","0","CreatureDisplayExtra-00062_HD.blp"
"63","1","0","3","11","5","4","3","0","0","3552","0","0","5346","2496","0","0","0","0","0","CreatureDisplayExtra-00063_HD.blp"
"64","1","0","0","10","11","9","3","0","0","0","5364","4858","5365","5366","0","0","0","0","0","CreatureDisplayExtra-00064_HD.blp"
"65","1","1","1","3","17","2","0","0","0","0","5367","5368","5369","5370","0","0","0","0","0","CreatureDisplayExtra-00065_HD.blp"
"66","1","1","1","1","2","5","0","0","0","13641","13642","4444","13643","8065","0","0","0","0","0","CreatureDisplayExtra-00066_HD.blp"
"67","1","1","2","10","7","0","0","0","0","13521","0","4599","3078","2990","0","1796","0","0","0","CreatureDisplayExtra-00067_HD.blp"
"68","1","0","2","1","1","2","0","0","0","13003","9009","8347","5236","5380","0","0","0","0","0","CreatureDisplayExtra-00068_HD.blp"
"69","1","0","3","2","2","1","6","0","5381","1185","2257","4847","697","1981","0","2362","0","0","0","CreatureDisplayExtra-00069_HD.blp"
"70","1","1","3","9","11","4","0","0","5384","5385","5386","3418","3414","5387","5388","5389","0","0","0","CreatureDisplayExtra-00070_HD.blp"
"71","2","0","6","4","5","5","3","0","0","8156","0","8135","7939","7782","0","0","0","0","0","CreatureDisplayExtra-00071_HD.blp"
"73","2","1","1","5","2","0","6","0","0","8180","0","8943","6300","7750","0","9170","0","0","0","CreatureDisplayExtra-00073_HD.blp"
"74","2","0","3","8","4","1","1","0","0","9171","0","8157","7781","7782","0","0","0","0","0","CreatureDisplayExtra-00074_HD.blp"
"75","2","0","1","0","3","3","0","0","0","9172","0","8135","7939","9173","0","0","0","0","0","CreatureDisplayExtra-00075_HD.blp"
"77","2","0","3","7","2","5","9","0","0","12826","0","11997","12614","9184","0","12248","0","0","0","CreatureDisplayExtra-00077_HD.blp"
"78","2","0","7","0","2","3","1","0","5892","19319","0","9047","7765","6198","8197","0","0","0","0","CreatureDisplayExtra-00078_HD.blp"
"79","2","0","2","3","1","0","4","0","0","9172","0","9401","19317","11900","0","0","0","0","0","CreatureDisplayExtra-00079_HD.blp"
"81","2","1","0","7","1","2","3","0","0","19318","0","8196","9541","11348","0","0","0","0","0","CreatureDisplayExtra-00081_HD.blp"
"83","2","0","3","0","4","6","4","0","0","7552","0","9183","6300","13350","0","0","0","0","0","CreatureDisplayExtra-00083_HD.blp"
"84","6","1","5","3","5","1","3","0","0","9185","0","9186","9187","0","0","0","0","0","0","CreatureDisplayExtra-00084_HD.blp"
"85","2","0","6","6","5","2","6","0","0","0","8738","9189","10972","9191","0","0","0","0","0","CreatureDisplayExtra-00085_HD.blp"
"86","2","0","3","2","3","1","2","0","11560","9023","0","9024","9025","8920","0","0","0","0","0","CreatureDisplayExtra-00086_HD.blp"
"87","2","0","3","7","5","5","9","0","9574","8957","0","9024","9025","8920","0","0","0","0","0","CreatureDisplayExtra-00087_HD.blp"
"90","2","1","5","3","7","5","5","0","11560","9023","0","9024","9025","8920","0","0","0","0","0","CreatureDisplayExtra-00090_HD.blp"
"91","2","0","4","0","2","0","1","0","0","10005","0","10988","10006","9650","0","0","0","0","0","CreatureDisplayExtra-00091_HD.blp"
"92","2","0","3","8","4","0","3","0","9651","9652","0","7728","8140","9653","0","7731","0","0","0","CreatureDisplayExtra-00092_HD.blp"
"93","2","0","6","5","0","0","4","0","0","9669","0","9670","9671","9672","0","0","0","0","0","CreatureDisplayExtra-00093_HD.blp"
"94","2","0","7","4","2","5","2","0","0","8156","0","8157","7781","0","0","0","0","0","0","CreatureDisplayExtra-00094_HD.blp"
"95","2","0","4","0","3","1","3","0","0","9669","0","9670","7533","0","0","0","0","0","0","CreatureDisplayExtra-00095_HD.blp"
"96","2","0","5","1","0","6","2","0","0","10116","0","310","6300","6301","0","0","0","0","0","CreatureDisplayExtra-00096_HD.blp"
"97","2","1","5","8","0","0","1","0","0","10070","0","9464","10071","10072","0","0","0","0","0","CreatureDisplayExtra-00097_HD.blp"
"98","2","0","7","3","2","2","1","0","0","9021","0","9007","8155","10107","0","0","0","0","0","CreatureDisplayExtra-00098_HD.blp"
"99","2","0","3","7","4","5","2","0","0","8161","0","10087","8181","10104","0","0","0","0","0","CreatureDisplayExtra-00099_HD.blp"
"100","2","1","2","2","4","4","4","0","0","11871","0","10091","11872","9184","0","0","0","0","0","CreatureDisplayExtra-00100_HD.blp"
"101","2","0","0","1","1","1","1","0","0","31568","0","22935","11280","31569","24180","0","0","0","0","CreatureDisplayExtra-00101_HD.blp"
"102","2","1","0","5","1","0","6","0","5495","11885","0","10429","11019","11888","0","0","0","0","0","CreatureDisplayExtra-00102_HD.blp"
"103","2","0","2","8","3","3","6","0","0","11877","0","9027","9028","9029","0","0","0","0","0","CreatureDisplayExtra-00103_HD.blp"
"105","2","0","0","1","5","7","4","0","0","9628","0","11880","9629","9051","0","0","0","0","0","CreatureDisplayExtra-00105_HD.blp"
"106","2","0","2","6","2","2","3","0","0","9171","0","10875","10876","11883","0","0","0","0","0","CreatureDisplayExtra-00106_HD.blp"
"107","2","0","5","8","4","6","2","0","0","8738","0","8739","5947","0","0","0","0","0","0","CreatureDisplayExtra-00107_HD.blp"
"108","2","0","8","1","3","0","0","0","0","8948","0","8135","7939","0","0","0","0","0","0","CreatureDisplayExtra-00108_HD.blp"
"110","2","0","0","3","4","1","4","0","0","11877","0","9027","11341","9029","0","0","0","0","0","CreatureDisplayExtra-00110_HD.blp"
"111","2","0","4","8","1","0","5","0","5485","11890","0","0","5488","5489","0","0","0","0","0","CreatureDisplayExtra-00111_HD.blp"
"112","2","0","2","1","3","1","6","0","5506","11897","0","10880","10881","11085","0","11898","0","0","0","CreatureDisplayExtra-00112_HD.blp"
"113","2","0","3","5","1","0","3","0","11893","11894","0","11895","11536","11408","0","11896","0","0","0","CreatureDisplayExtra-00113_HD.blp"
"114","2","0","0","2","2","1","3","0","0","7708","0","8139","10006","7762","0","0","0","0","0","CreatureDisplayExtra-00114_HD.blp"
"115","2","1","2","4","5","2","5","0","0","10126","0","8139","10006","0","0","0","0","0","0","CreatureDisplayExtra-00115_HD.blp"
"116","2","0","3","4","4","6","4","0","0","10070","0","9464","10071","0","0","0","0","0","0","CreatureDisplayExtra-00116_HD.blp"
"117","2","1","4","0","1","1","4","0","0","10070","0","9464","10071","9008","0","11899","0","0","0","CreatureDisplayExtra-00117_HD.blp"
"118","2","1","0","3","4","7","0","0","0","10066","9548","8002","7781","7782","0","0","0","0","0","CreatureDisplayExtra-00118_HD.blp"
"119","2","0","0","7","2","1","1","0","0","9175","0","8943","7710","11900","0","0","0","0","0","CreatureDisplayExtra-00119_HD.blp"
"120","2","0","5","8","4","1","5","0","0","8156","0","8157","7939","9173","0","0","0","0","0","CreatureDisplayExtra-00120_HD.blp"
"121","2","0","3","2","3","1","1","0","0","9519","9036","9903","10114","10115","0","0","0","0","0","CreatureDisplayExtra-00121_HD.blp"
"122","2","0","0","8","2","0","1","0","0","11481","0","8135","8175","7782","0","0","0","0","0","CreatureDisplayExtra-00122_HD.blp"
"124","2","0","1","4","4","5","3","0","0","11901","0","8159","7765","11902","0","11903","0","0","0","CreatureDisplayExtra-00124_HD.blp"
"126","2","1","5","4","7","5","4","0","0","11141","0","7709","7767","0","0","11905","0","0","0","CreatureDisplayExtra-00126_HD.blp"
"127","2","0","5","7","5","1","1","0","0","11906","0","10087","10114","10115","2118","0","0","0","0","CreatureDisplayExtra-00127_HD.blp"
"128","2","0","4","5","1","0","2","0","0","9175","0","8157","7781","7782","0","0","0","0","0","CreatureDisplayExtra-00128_HD.blp"
"129","2","0","0","1","2","0","0","0","0","10116","0","7662","6300","6301","0","0","0","0","0","CreatureDisplayExtra-00129_HD.blp"
"131","2","0","6","4","3","3","3","0","0","7811","0","9525","10114","10115","0","0","0","0","0","CreatureDisplayExtra-00131_HD.blp"
"132","2","0","3","2","5","5","4","0","0","11481","0","8157","7781","9173","0","0","0","0","0","CreatureDisplayExtra-00132_HD.blp"
"133","3","0","1","2","1","0","1","0","0","0","3265","4300","1882","4463","5578","5579","0","0","0","CreatureDisplayExtra-00133_HD.blp"
"134","2","0","3","4","5","1","3","3047","4942","5582","0","5583","3826","3827","5584","5585","0","0","0","CreatureDisplayExtra-00134_HD.blp"
"135","3","0","1","2","5","7","7","0","0","25256","0","6049","6050","21335","0","21336","0","0","0","CreatureDisplayExtra-00135_HD.blp"
"136","1","0","0","0","1","0","8","0","0","6177","0","3872","5782","5594","6178","6179","0","0","0","CreatureDisplayExtra-00136_HD.blp"
"137","1","0","2","7","1","5","3","5599","0","5597","0","5457","5236","5598","0","0","0","0","0","CreatureDisplayExtra-00137_HD.blp"
"138","1","1","1","5","3","2","0","0","0","5600","5334","0","5601","6005","0","0","0","0","0","CreatureDisplayExtra-00138_HD.blp"
"139","3","0","1","1","3","4","6","0","0","5445","0","4574","5602","4472","0","0","0","0","0","CreatureDisplayExtra-00139_HD.blp"
"140","3","0","0","7","0","5","8","0","5608","5604","0","0","5605","3715","0","5606","0","0","0","CreatureDisplayExtra-00140_HD.blp"
"141","1","0","3","2","5","7","2","8806","11690","11680","8433","6215","5488","5489","11443","11444","11668","0","0","CreatureDisplayExtra-00141_HD.blp"
"142","5","0","1","9","0","1","0","0","0","8300","0","8805","8301","11031","0","0","0","0","0","CreatureDisplayExtra-00142_HD.blp"
"143","3","0","1","0","0","3","9","0","0","3552","0","0","2610","3261","0","0","0","0","0","CreatureDisplayExtra-00143_HD.blp"
"144","3","0","2","9","1","4","4","15907","0","5315","0","0","5443","2486","0","0","0","0","0","CreatureDisplayExtra-00144_HD.blp"
"145","3","0","8","1","0","5","0","15298","0","0","5625","4882","5626","0","0","0","0","0","0","CreatureDisplayExtra-00145_HD.blp"
"146","3","0","6","7","3","1","9","0","0","9880","10719","5904","25258","14046","0","5942","0","0","0","CreatureDisplayExtra-00146_HD.blp"
"147","1","0","4","2","7","7","3","0","0","5467","0","0","5469","5470","0","5472","0","0","0","CreatureDisplayExtra-00147_HD.blp"
"148","3","0","3","2","0","1","0","15907","0","5631","0","0","5632","5633","0","5634","0","0","0","CreatureDisplayExtra-00148_HD.blp"
"149","3","1","1","6","10","8","0","0","0","5343","0","5344","1818","4586","0","0","0","0","0","CreatureDisplayExtra-00149_HD.blp"
"150","3","0","2","4","6","5","8","0","0","13928","0","8350","9505","5380","0","0","0","0","0","CreatureDisplayExtra-00150_HD.blp"
"151","1","0","3","1","10","3","5","3047","0","3552","0","0","5346","2496","3897","0","0","0","0","CreatureDisplayExtra-00151_HD.blp"
"152","3","1","1","0","1","1","0","0","0","13611","2470","4852","5236","14921","0","0","0","0","0","CreatureDisplayExtra-00152_HD.blp"
"153","3","0","6","8","7","4","6","0","0","5298","5299","4335","5300","5301","0","5302","0","0","0","CreatureDisplayExtra-00153_HD.blp"
"154","3","1","2","1","4","1","0","0","0","5653","0","4878","5652","14925","0","0","0","0","0","CreatureDisplayExtra-00154_HD.blp"
"155","1","0","7","8","8","4","1","0","0","4588","0","0","5654","945","0","0","0","0","0","CreatureDisplayExtra-00155_HD.blp"
"156","3","0","2","3","1","1","4","15919","4593","5655","0","8871","1963","1966","0","0","0","0","0","CreatureDisplayExtra-00156_HD.blp"
"157","3","0","1","7","7","7","3","3215","0","12157","12158","2985","7622","8262","0","7516","0","0","0","CreatureDisplayExtra-00157_HD.blp"
"158","3","0","0","0","5","2","1","0","0","0","5661","3418","3414","5387","0","5389","0","0","0","CreatureDisplayExtra-00158_HD.blp"
"159","3","0","2","2","1","1","10","15311","0","12159","12160","8431","5602","12161","0","0","0","0","0","CreatureDisplayExtra-00159_HD.blp"
"160","3","0","1","8","1","7","4","0","0","10834","3057","5670","3058","4030","3623","6124","0","0","0","CreatureDisplayExtra-00160_HD.blp"
"161","3","0","1","6","9","3","10","0","0","10719","0","4590","9380","4586","4471","0","0","0","0","CreatureDisplayExtra-00161_HD.blp"
"162","2","0","6","6","1","3","4","0","5676","0","5673","3418","3414","5674","0","5675","0","0","0","CreatureDisplayExtra-00162_HD.blp"
"163","1","1","4","4","8","6","0","5677","10511","0","10512","9495","9132","5354","0","10513","0","0","0","CreatureDisplayExtra-00163_HD.blp"
"165","1","0","1","9","3","1","2","0","0","10834","10860","5845","2201","2204","0","0","0","0","0","CreatureDisplayExtra-00165_HD.blp"
"166","1","1","3","0","2","3","1","0","0","13173","10860","5845","2201","2204","0","0","0","0","0","CreatureDisplayExtra-00166_HD.blp"
"167","1","0","4","4","10","7","4","0","0","3552","0","0","3179","0","0","0","0","0","0","CreatureDisplayExtra-00167_HD.blp"
"168","1","0","3","4","4","0","0","0","0","2317","16661","8072","5822","19490","0","0","0","0","0","CreatureDisplayExtra-00168_HD.blp"
"169","1","1","0","2","4","5","1","0","0","9774","0","6062","7587","8268","0","0","0","0","0","CreatureDisplayExtra-00169_HD.blp"
"170","1","0","3","10","8","9","4","0","0","11794","10719","6062","3173","4272","0","0","0","0","0","CreatureDisplayExtra-00170_HD.blp"
"171","1","0","7","9","3","0","5","0","0","9782","5440","7519","7520","8959","0","0","0","0","0","CreatureDisplayExtra-00171_HD.blp"
"172","1","1","7","12","6","0","0","0","0","11227","25097","5725","5726","11967","0","0","0","0","0","CreatureDisplayExtra-00172_HD.blp"
"173","1","1","2","0","3","5","1","0","0","5710","0","4905","6074","5370","0","0","0","0","0","CreatureDisplayExtra-00173_HD.blp"
"174","1","0","2","8","8","8","4","3215","0","9781","0","5873","5874","5875","0","0","0","0","0","CreatureDisplayExtra-00174_HD.blp"
"175","1","1","2","4","4","2","1","0","0","30253","0","7700","9580","5573","0","30254","0","0","0","CreatureDisplayExtra-00175_HD.blp"
"176","1","0","4","9","2","9","7","3047","0","5715","0","5361","4365","4921","0","0","0","0","0","CreatureDisplayExtra-00176_HD.blp"
"177","1","0","5","7","1","1","0","0","0","4299","0","5361","4617","4921","0","0","0","0","0","CreatureDisplayExtra-00177_HD.blp"
"178","1","1","4","10","7","1","3","0","0","5722","0","4954","4365","4921","0","0","0","0","0","CreatureDisplayExtra-00178_HD.blp"
"179","1","0","0","3","5","4","2","0","0","2317","0","8072","3173","9675","0","0","0","0","0","CreatureDisplayExtra-00179_HD.blp"
"180","1","1","2","8","5","3","0","0","0","6073","9458","6062","8974","6063","0","0","0","0","0","CreatureDisplayExtra-00180_HD.blp"
"181","1","1","2","11","16","1","2","0","0","13463","0","9748","13464","9750","0","0","0","0","0","CreatureDisplayExtra-00181_HD.blp"
"182","1","0","0","7","1","2","8","0","49713","35463","48896","48897","11790","48701","49379","0","0","0","0","CreatureDisplayExtra-00182_HD.blp"
"183","1","1","3","8","9","4","5","0","0","9563","0","8344","6865","8351","0","0","0","0","0","CreatureDisplayExtra-00183_HD.blp"
"184","1","0","2","0","0","1","2","0","0","13209","1019","4574","4469","8354","0","0","0","0","0","CreatureDisplayExtra-00184_HD.blp"
"185","1","0","1","2","7","0","1","0","0","9779","0","8958","7080","7056","0","0","0","0","0","CreatureDisplayExtra-00185_HD.blp"
"186","1","0","3","8","1","2","4","0","0","5802","10849","3696","2610","5380","0","0","0","0","0","CreatureDisplayExtra-00186_HD.blp"
"187","1","1","3","5","7","2","3","0","0","12223","10719","5734","5735","5736","0","0","0","0","0","CreatureDisplayExtra-00187_HD.blp"
"188","1","0","1","4","1","5","7","0","0","5741","5440","6121","5874","6063","0","0","0","0","0","CreatureDisplayExtra-00188_HD.blp"
"189","1","1","2","1","10","5","0","0","0","5738","5440","5739","8974","5875","0","0","0","0","0","CreatureDisplayExtra-00189_HD.blp"
"190","1","1","1","9","11","0","4","0","0","10038","0","8958","6074","5744","0","0","0","0","0","CreatureDisplayExtra-00190_HD.blp"
"191","1","0","3","0","5","0","1","0","0","5872","5440","5873","5874","5875","0","0","0","0","0","CreatureDisplayExtra-00191_HD.blp"
"192","1","0","0","3","10","0","1","15491","0","5757","5623","4306","2185","7458","0","0","0","0","0","CreatureDisplayExtra-00192_HD.blp"
"193","1","1","0","14","2","0","0","0","4488","12266","0","5759","5760","5761","0","14972","0","0","0","CreatureDisplayExtra-00193_HD.blp"
"194","1","1","2","2","4","3","1","0","0","13212","0","5716","11458","11936","0","0","0","0","0","CreatureDisplayExtra-00194_HD.blp"
"195","1","0","1","9","8","7","4","5767","13180","13179","0","10501","10794","9573","0","0","0","0","0","CreatureDisplayExtra-00195_HD.blp"
"196","1","0","7","3","3","8","5","5659","0","5771","5440","5772","1882","4272","0","0","0","0","0","CreatureDisplayExtra-00196_HD.blp"
"197","1","0","3","5","6","1","5","0","0","10834","10860","4592","2656","8268","0","0","0","0","0","CreatureDisplayExtra-00197_HD.blp"
"198","1","1","1","7","5","0","4","0","0","13245","0","6071","6074","3757","0","0","0","0","0","CreatureDisplayExtra-00198_HD.blp"
"199","1","1","2","2","14","3","1","0","5762","5781","0","0","5765","3757","0","5268","0","0","0","CreatureDisplayExtra-00199_HD.blp"
"200","1","0","1","6","3","8","1","0","0","4637","5440","6121","5782","5522","0","0","0","0","0","CreatureDisplayExtra-00200_HD.blp"
"201","1","0","3","0","1","4","6","0","0","10861","11322","4989","5731","4614","0","0","0","0","0","CreatureDisplayExtra-00201_HD.blp"
"202","1","0","0","10","1","0","4","15911","0","5306","0","5832","2185","4272","0","0","0","0","0","CreatureDisplayExtra-00202_HD.blp"
"203","1","0","9","0","4","0","2","0","0","4640","0","4300","3173","4272","0","0","0","0","0","CreatureDisplayExtra-00203_HD.blp"
"204","1","1","1","0","17","5","1","0","5115","5784","0","5368","5785","5786","0","0","0","0","0","CreatureDisplayExtra-00204_HD.blp"
"205","1","0","2","0","1","3","0","0","0","5787","5440","5788","1882","4272","0","0","0","0","0","CreatureDisplayExtra-00205_HD.blp"
"206","1","0","3","3","6","8","5","0","0","5789","5440","6121","2185","4272","0","0","0","0","0","CreatureDisplayExtra-00206_HD.blp"
"207","1","1","1","1","1","5","0","0","0","10476","0","5742","5743","5792","0","0","0","0","0","CreatureDisplayExtra-00207_HD.blp"
"208","1","0","4","8","0","0","2","15293","0","4635","0","5725","5601","5463","0","5268","0","0","0","CreatureDisplayExtra-00208_HD.blp"
"209","1","0","0","7","1","4","7","0","0","5793","5440","4882","4304","4622","0","0","0","0","0","CreatureDisplayExtra-00209_HD.blp"
"210","1","1","4","4","3","4","1","0","0","13214","0","5795","7592","8418","0","0","0","0","0","CreatureDisplayExtra-00210_HD.blp"
"211","1","1","1","2","8","3","0","0","0","9687","0","8241","8242","8313","0","0","0","0","0","CreatureDisplayExtra-00211_HD.blp"
"212","1","1","2","1","9","5","6","0","0","9687","0","8241","8242","6463","0","0","0","0","0","CreatureDisplayExtra-00212_HD.blp"
"213","1","1","0","5","14","3","5","0","0","5799","0","5800","5801","5366","0","0","0","0","0","CreatureDisplayExtra-00213_HD.blp"
"214","1","1","2","11","13","2","0","0","0","5803","5440","5804","2318","4272","0","0","0","0","0","CreatureDisplayExtra-00214_HD.blp"
"215","1","1","1","1","4","5","0","0","9704","9700","9458","5588","9701","8997","0","0","0","0","0","CreatureDisplayExtra-00215_HD.blp"
"216","1","1","2","4","1","1","0","0","0","13471","0","5821","5589","8997","0","0","0","0","0","CreatureDisplayExtra-00216_HD.blp"
"217","1","1","2","8","10","2","4","0","0","15025","5440","5858","4365","6063","0","0","0","0","0","CreatureDisplayExtra-00217_HD.blp"
"218","1","1","3","9","11","4","2","0","0","10652","5815","5821","11751","13470","0","0","0","0","0","CreatureDisplayExtra-00218_HD.blp"
"219","1","0","2","2","2","0","2","5817","9577","8041","13199","13200","13467","13202","0","13203","0","0","0","CreatureDisplayExtra-00219_HD.blp"
"220","1","0","1","7","1","1","5","0","0","8041","13199","13200","5822","5823","0","0","0","0","0","CreatureDisplayExtra-00220_HD.blp"
"221","1","0","1","10","8","9","4","0","0","9705","0","5821","5589","8997","0","0","0","0","0","CreatureDisplayExtra-00221_HD.blp"
"222","1","0","1","11","10","1","6","0","0","12037","0","4881","5874","4272","0","0","0","0","0","CreatureDisplayExtra-00222_HD.blp"
"223","1","0","2","4","1","4","7","0","0","13469","0","5821","5822","5823","0","0","0","0","0","CreatureDisplayExtra-00223_HD.blp"
"224","1","0","1","8","1","7","6","5677","5833","5834","0","4335","4333","4440","5835","5836","0","0","0","CreatureDisplayExtra-00224_HD.blp"
"225","1","0","1","1","2","1","8","0","0","10834","11322","5838","5469","5840","0","5435","0","0","0","CreatureDisplayExtra-00225_HD.blp"
"226","1","0","3","10","6","2","0","15908","0","5447","0","5867","7834","5846","0","0","0","0","0","CreatureDisplayExtra-00226_HD.blp"
"227","1","0","1","2","9","0","1","0","0","12969","5440","3553","3201","3066","0","5847","0","0","0","CreatureDisplayExtra-00227_HD.blp"
"228","1","0","2","10","10","8","4","0","0","5345","0","0","5848","302","0","0","0","0","0","CreatureDisplayExtra-00228_HD.blp"
"229","3","0","2","3","2","4","1","0","5849","4334","0","4853","4469","5850","4471","0","0","0","0","CreatureDisplayExtra-00229_HD.blp"
"230","1","0","2","9","1","3","5","0","2953","5851","5852","4342","4617","5853","0","0","0","0","0","CreatureDisplayExtra-00230_HD.blp"
"231","1","0","1","3","4","4","6","0","0","5854","0","5827","5855","5856","0","0","0","0","0","CreatureDisplayExtra-00231_HD.blp"
"232","1","0","1","4","3","6","7","0","0","4270","0","0","4469","5480","0","0","0","0","0","CreatureDisplayExtra-00232_HD.blp"
"233","1","0","0","11","4","5","3","0","0","5857","0","5858","2299","4614","0","0","0","0","0","CreatureDisplayExtra-00233_HD.blp"
"234","1","0","3","2","11","0","0","0","0","9509","0","5859","3248","3066","0","8892","0","0","0","CreatureDisplayExtra-00234_HD.blp"
"235","1","0","3","7","0","3","3","0","0","29154","29155","19419","28182","2496","0","29156","0","0","0","CreatureDisplayExtra-00235_HD.blp"
"236","1","0","1","2","2","3","6","0","0","7760","0","4857","9018","2993","0","0","0","0","0","CreatureDisplayExtra-00236_HD.blp"
"237","1","0","4","7","5","8","5","0","0","5863","5864","4989","1818","4272","0","0","0","0","0","CreatureDisplayExtra-00237_HD.blp"
"238","1","0","2","7","1","1","7","0","0","4588","0","4590","8426","8354","0","0","0","0","0","CreatureDisplayExtra-00238_HD.blp"
"239","1","0","1","10","3","9","5","0","0","10785","13380","13459","9018","13383","0","0","0","0","0","CreatureDisplayExtra-00239_HD.blp"
"240","1","1","3","2","8","1","0","0","0","2317","0","4989","4365","4614","0","0","0","0","0","CreatureDisplayExtra-00240_HD.blp"
"241","1","1","1","4","14","3","1","0","0","5623","0","4905","8329","4835","0","0","0","0","0","CreatureDisplayExtra-00241_HD.blp"
"242","1","1","4","9","18","5","1","0","0","13460","13461","5845","8426","13462","0","0","0","0","0","CreatureDisplayExtra-00242_HD.blp"
"243","1","1","2","4","6","3","6","0","0","2470","0","5838","5469","8959","0","0","0","0","0","CreatureDisplayExtra-00243_HD.blp"
"244","1","0","1","0","1","4","7","0","0","5872","0","5873","5874","5875","0","0","0","0","0","CreatureDisplayExtra-00244_HD.blp"
"245","1","0","3","10","11","6","4","0","0","5345","0","0","5848","0","0","0","0","0","0","CreatureDisplayExtra-00245_HD.blp"
"246","1","1","4","2","10","6","0","0","0","5889","5440","5890","8329","14927","0","0","0","0","0","CreatureDisplayExtra-00246_HD.blp"
"247","4","0","1","0","4","2","2","0","5414","0","0","5457","5622","15445","3704","0","0","0","0","CreatureDisplayExtra-00247_HD.blp"
"248","4","1","2","0","5","1","0","8380","5678","6029","0","0","6030","6031","6032","6033","0","0","0","CreatureDisplayExtra-00248_HD.blp"
"249","4","0","5","0","3","4","4","0","5496","0","0","5912","5913","9160","1965","0","0","0","0","CreatureDisplayExtra-00249_HD.blp"
"250","1","0","2","8","1","4","4","0","0","5802","0","5904","1883","4272","0","0","0","0","0","CreatureDisplayExtra-00250_HD.blp"
"251","4","0","0","2","0","2","2","0","7868","0","8405","0","8406","3454","0","25105","0","0","0","CreatureDisplayExtra-00251_HD.blp"
"252","1","1","2","13","16","9","0","0","0","5910","9776","5845","5622","5911","0","0","0","0","0","CreatureDisplayExtra-00252_HD.blp"
"253","1","1","3","4","3","1","0","0","0","12343","12344","8072","12345","7458","0","0","0","0","0","CreatureDisplayExtra-00253_HD.blp"
"254","6","0","7","1","6","2","2","0","0","7777","0","6978","9970","0","0","0","0","0","0","CreatureDisplayExtra-00254_HD.blp"
